0.49	-0.990542	0.203752	5.97863e-06	8.63929e-06	-0.877066	-6.16554	2.63428e-06	3.73985e-05
0.5	-0.999313	0.142097	6.00497e-06	9.01327e-06	-0.493675	-6.22006	1.48276e-06	3.75622e-05
0.51	-1.00425	0.0798961	6.0198e-06	9.38889e-06	-0.106159	-6.25088	3.18849e-07	3.76548e-05
0.52	-1.00531	0.0173873	6.02299e-06	9.76544e-06	0.284042	-6.25763	-8.53124e-07	3.7675e-05
0.53	-1.00247	-0.0451889	6.01446e-06	1.01422e-05	0.675438	-6.23998	-2.02869e-06	3.7622e-05
0.54	-0.995716	-0.107589	5.99417e-06	1.05184e-05	1.0665	-6.19772	-3.20326e-06	3.74951e-05
0.55	-0.985051	-0.169566	5.96214e-06	1.08934e-05	1.45567	-6.13073	-4.37214e-06	3.72939e-05
0.56	-0.970494	-0.230873	5.91842e-06	1.12663e-05	1.84136	-6.03897	-5.53055e-06	3.70183e-05
0.57	-0.952081	-0.291263	5.86311e-06	1.16365e-05	2.22194	-5.92254	-6.67364e-06	3.66686e-05
0.58	-0.929861	-0.350488	5.79638e-06	1.20032e-05	2.59579	-5.78162	-7.79652e-06	3.62453e-05
0.59	-0.903903	-0.408304	5.71841e-06	1.23656e-05	2.96128	-5.61652	-8.89426e-06	3.57494e-05
0.6	-0.874291	-0.46447	5.62947e-06	1.27231e-05	3.31676	-5.42767	-9.96195e-06	3.51822e-05
0.61	-0.841123	-0.518746	5.52985e-06	1.30749e-05	3.66061	-5.2156	-1.09947e-05	3.45453e-05
0.62	-0.804517	-0.570902	5.4199e-06	1.34204e-05	3.99122	-4.98098	-1.19877e-05	3.38406e-05
0.63	-0.764605	-0.620712	5.30002e-06	1.37588e-05	4.30703	-4.72461	-1.29362e-05	3.30706e-05
0.64	-0.721534	-0.667958	5.17066e-06	1.40895e-05	4.60649	-4.44738	-1.38357e-05	3.22379e-05
0.65	-0.67547	-0.712432	5.03231e-06	1.44119e-05	4.88812	-4.15033	-1.46816e-05	3.13457e-05
0.66	-0.626588	-0.753935	4.88549e-06	1.47253e-05	5.15051	-3.83461	-1.54697e-05	3.03974e-05
0.67	-0.575083	-0.792281	4.73079e-06	1.50293e-05	5.39232	-3.50148	-1.61959e-05	2.93969e-05
0.68	-0.52116	-0.827296	4.56883e-06	1.53233e-05	5.61227	-3.15231	-1.68566e-05	2.83482e-05
0.69	-0.465037	-0.858819	4.40027e-06	1.56068e-05	5.80922	-2.78859	-1.74481e-05	2.72557e-05
0.7	-0.406945	-0.886705	4.22579e-06	1.58793e-05	5.9821	-2.41189	-1.79674e-05	2.61243e-05
0.71	-0.347124	-0.910824	4.04611e-06	1.61406e-05	6.12998	-2.02386	-1.84115e-05	2.49588e-05
0.72	-0.285824	-0.931063	3.862e-06	1.63902e-05	6.25204	-1.62626	-1.87781e-05	2.37646e-05
0.73	-0.223304	-0.947325	3.67422e-06	1.66278e-05	6.34759	-1.2209	-1.90651e-05	2.25471e-05
0.74	-0.159828	-0.959534	3.48357e-06	1.68533e-05	6.4161	-0.80963	-1.92709e-05	2.13119e-05
0.75	-0.0956669	-0.967631	3.29086e-06	1.70664e-05	6.45715	-0.394374	-1.93942e-05	2.00646e-05
0.76	-0.0310953	-0.971574	3.09691e-06	1.7267e-05	6.47051	0.022931	-1.94343e-05	1.88112e-05
0.77	0.0336098	-0.971345	2.90257e-06	1.74551e-05	6.45607	0.440325	-1.93909e-05	1.75576e-05
0.78	0.0981705	-0.966942	2.70866e-06	1.76307e-05	6.41389	0.855844	-1.92642e-05	1.63096e-05
0.79	0.162309	-0.958383	2.51602e-06	1.77938e-05	6.34416	1.26754	-1.90548e-05	1.50731e-05
0.8	0.225751	-0.945708	2.32547e-06	1.79446e-05	6.24727	1.67347	-1.87638e-05	1.38538e-05
0.81	0.288224	-0.928973	2.13783e-06	1.80831e-05	6.1237	2.07176	-1.83926e-05	1.26576e-05
0.82	0.349461	-0.908256	1.95391e-06	1.82097e-05	5.97411	2.46056	-1.79433e-05	1.14898e-05
0.83	0.409202	-0.88365	1.77447e-06	1.83246e-05	5.79929	2.83808	-1.74183e-05	1.03559e-05
0.84	0.467195	-0.855269	1.60029e-06	1.84281e-05	5.60015	3.20264	-1.68202e-05	9.26094e-06
0.85	0.523196	-0.823243	1.43209e-06	1.85207e-05	5.37775	3.5526	-1.61522e-05	8.20983e-06
0.86	0.576974	-0.787717	1.27057e-06	1.86028e-05	5.13323	3.88644	-1.54177e-05	7.20713e-06
0.87	0.628306	-0.748852	1.11639e-06	1.86749e-05	4.86785	4.20274	-1.46207e-05	6.25712e-06
0.88	0.676984	-0.706825	9.70184e-07	1.87375e-05	4.58297	4.50018	-1.3765e-05	5.36374e-06
0.89	0.722814	-0.661823	8.32533e-07	1.87911e-05	4.28002	4.77758	-1.28551e-05	4.53057e-06
0.9	0.765614	-0.614047	7.03982e-07	1.88364e-05	3.9605	5.03385	-1.18954e-05	3.76085e-06
0.91	0.805219	-0.563709	5.85028e-07	1.8874e-05	3.62598	5.26805	-1.08907e-05	3.05744e-06
0.92	0.841479	-0.511028	4.76121e-07	1.89046e-05	3.27807	5.47934	-9.84574e-06	2.42281e-06
